"待補資料","受影響的疾病編號","由誰補","去哪查","會影響哪些工作"
"正式採用的 10 個疾病仍待學員在第三步主表填寫","1,2,3,4,5,6,11,14,16,22","課堂學員或負責審查的人員","03_review_22_to_10.csv 的討論結果與正式審查結果欄","不得將流程練習名單當作正式名單或進行正式排序"
"C1 未治療人類致死率缺符合定義的分母或比例","2,3,4,5,6,11,14,16,22","疾病流行病學資料整理人員","疾病別臨床指引或具分母的同行審查文獻","影響 C1 正式配分，以及評估題目能否分出疾病差異"
"C2 稀有移植、垂直與輸血途徑是否納入題目範圍","1,22","方法學負責人與人工審查者","課程方法學範圍決策紀錄","影響這兩病 C2 配分"
"C2 肺鼠疫是否可持續傳播及其判定上限","2","疾病流行病學資料整理人員與方法學負責人","註明名稱與網址的傳播研究及課程方法學範圍決策紀錄","影響 C2；可飛沫人傳人不足以斷定僅有限"
"C2 鉤端螺旋體病「通常不以人傳人」在特殊途徑範圍內的判定","14","疾病流行病學資料整理人員與方法學負責人","註明名稱與網址的疾病指引及課程方法學範圍決策紀錄","影響 C2；不得在範圍未決時填無人傳人"
"C2 人傳人能力未蒐集","3,4,5,6,11,16","疾病流行病學資料整理人員","註明名稱與網址的疾病指引或系統性回顧","影響 C2 正式配分，以及評估題目能否分出疾病差異"
"C3 人用疫苗、動物疫苗與有效治療的資料，確認全球是否有這些工具","2,3,4,5,6,11,14,16,22","人醫與動物衛生資料整理人員","WHO 或疾病別臨床指引及註明名稱與網址的動物衛生資料","影響 C3 正式配分；不得以一項有、兩項未知填僅一項"
"C4 動物致死率的可比較物種與比例","1,2,3,4,5,6,11,14,16,22","動物衛生資料整理人員","WOAH 疾病資料與動物疫情技術報告","影響 C4 的是或否判定"
"C4 畜禽產量下降的可比較比例","1,2,3,4,5,6,11,14,16,22","農業經濟或動物衛生資料整理人員","農業部門統計與疾病別影響報告","影響 C4 的是或否判定"
"C5 衛福部是否具備疾病別監測或防治能力與資源","1","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","1","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","2","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","2","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","3","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","3","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","4","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","4","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","5","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","5","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","6","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","6","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","11","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","11","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","14","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","14","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","16","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","16","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 衛福部是否具備疾病別監測或防治能力與資源","22","衛生主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
"C5 農業部是否具備疾病別監測或防治能力與資源","22","農業主管機關權責承辦人","核准之內部作業環境","影響 C5；本次不計分"
